1.1 44.0422 8.47872
1.2 56.5248 9.53856
1.3 55.2294 17.3107
1.4 55.3472 16.8397
1.5 52.7565 16.9574
1.6 54.7584 13.8957
1.7 52.6387 14.4845
1.8 49.2237 17.664
1.9 49.6947 12.9536
2 48.7526 18.0173
2.1 51.2256 16.3686
2.2 48.5171 15.4266
2.3 51.6966 14.9555
2.4 55.1117 12.9536
2.5 52.2854 16.1331
2.6 55.2294 10.7162
2.7 52.0499 13.7779
2.8 52.0499 8.94976
2.9 48.7526 10.4806
3 54.9939 14.0134 
3.1 55.2294 14.0134
3.2 52.1677 12.7181
3.3 55.936 14.8378
3.4 42.9824 15.3088
3.5 55.3472 14.4845
3.6 44.8666 14.1312
3.7 55.5827 14.72
3.8 55.2294 12.8358
3.9 52.2854 11.305
4 55.465 14.0134
4.1 51.6966 14.1312
4.2 48.5171 13.8957
4.3 55.2294 14.4845
4.4 55.465 15.4266
4.5 52.0499 14.4845
4.6 55.5827 18.0173
4.7 46.7507 13.7779
4.8 55.1117 17.7818
4.9 55.465 16.8397
5 45.3376 13.4246
5.1 49.1059 13.4246
5.2 54.6406 16.6042
5.3 49.4592 18.7238
5.4 48.7526 18.2528
5.5 44.8666 12.9536
5.6 45.1021 12.9536
5.7 46.3974 19.7837
5.8 55.3472 14.1312
5.9 55.465 20.8435
